local,ultimo_mes_pagado,ultimo_mes_pagado_raw,payment_status,recibo,receipt_date,category,path
GM-29,2024-12,2024-12,COMPLETO,192,2025-02-05,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00192 DAIBELYS, OCHOA GT OCTUBRE A DIC 2024.docx"
GM-11,2024-12,2024-12,COMPLETO,0,2025-08-20,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01427 YOHANA C, MENDOZA GASTOS COMUNES DIC 2024.docx"
GM-10,2024-12,2024-12,COMPLETO,0,2025-08-20,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01427 YOHANA C, MENDOZA GASTOS COMUNES DIC 2024.docx"
G-10,2024-12,2024-12,COMPLETO,,2025-04-04,GC,"2025/ABRIL 2025/RECIBO DE PAGO Nº 00621 YESMIN, QUINTERO GT AGOSTO 2024.docx"
DM-21,2024-12,2024-12,COMPLETO,,2025-05-04,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00824 EMILTER J, BETANCOURT GT SEPT A DIC 2024.docx"
D-16,2024-12,2024-12,COMPLETO,,2025-05-02,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00894 MIRRAY, VASQUEZ GT AGOSTO A DIC 2024.docx"
D-15,2024-12,2024-12,COMPLETO,,2025-05-03,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00907 MILEYDA, VASQUEZ GT SEPT A DIC 2024.docx"
D-14,2024-12,2024-12,COMPLETO,,2025-05-02,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00894 MIRRAY, VASQUEZ GT AGOSTO A DIC 2024.docx"
D-13,2024-12,2024-12,COMPLETO,,2025-05-03,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00907 MILEYDA, VASQUEZ GT SEPT A DIC 2024.docx"
CM-34,2024-12,2024-12,COMPLETO,193,2025-02-05,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00193 DAYANA C, RUJANO GT OCTUBRE A DIC 2024.docx"
CM-01,2024-12,2024-12,COMPLETO,193,2025-02-05,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00193 DAYANA C, RUJANO GT OCTUBRE A DIC 2024.docx"
C-46,2025-06,2025-06,COMPLETO,194,2025-02-05,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00194 CARLOS M, MENDEZ GT OCTUBRE A DIC 2024.docx"
C-09,2024-12,2024-12,COMPLETO,195,2025-02-05,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00195 ERMELINDA, LIRA GT OCTUBRE A DIC 2024.docx"
C-08,2024-12,2024-12,COMPLETO,195,2025-02-05,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00195 ERMELINDA, LIRA GT OCTUBRE A DIC 2024.docx"
C-07,2024-12,2024-12,COMPLETO,195,2025-02-05,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00195 ERMELINDA, LIRA GT OCTUBRE A DIC 2024.docx"
C-03,2025-06,2025-06,COMPLETO,194,2025-02-05,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00194 CARLOS M, MENDEZ GT OCTUBRE A DIC 2024.docx"
B-39,2024-12,2024-12,COMPLETO,,2025-05-04,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00824 EMILTER J, BETANCOURT GT SEPT A DIC 2024.docx"
B-36,2024-12,2024-12,COMPLETO,,2025-09-18,GC,2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01592 MARIA I FERNANDEZ  RESTANTE GC SEPTIEMBRE A DICIEMBRE 2024.docx
B-35,2024-12,2024-12,COMPLETO,,2025-09-18,GC,2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01592 MARIA I FERNANDEZ  RESTANTE GC SEPTIEMBRE A DICIEMBRE 2024.docx
B-34,2024-12,2024-12,COMPLETO,,2025-09-18,GC,2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01592 MARIA I FERNANDEZ  RESTANTE GC SEPTIEMBRE A DICIEMBRE 2024.docx
A-26,2025-01,2025-01,COMPLETO,174,2025-02-03,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00174 JOAO A, FIGUEIRA GASTOS COMUNES AGOSTO A DIC 2024.docx"
HM-09,2025-06,2025-06,COMPLETO,,2025-07-02,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01127 CONSUELO, TRAZONA GT AGOSTO A NOV 2024.docx"
H-13,2024-11,2024-11,COMPLETO,,2025-05-02,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00893 JULIO C, RUIZ GT AGOSTO A NOV 2024.docx"
L-01,2025-06,2025-06,COMPLETO,,2025-10-22,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01827 FRANCISCO J, GANAU  GC SEPTIEMBRE Y OCTUBRE 2024 - 100%.docx"
E-22,2025-04,2025-04,COMPLETO,,2025-11-08,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 01979 MOISES, QUINTERO GT OCTUBRE 2024.docx"
E-21,2025-04,2025-04,COMPLETO,,2025-11-08,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 01979 MOISES, QUINTERO GT OCTUBRE 2024.docx"
C-25,2024-10,2024-10,COMPLETO,2099,2024-11-22,GC,"2024/RECIBO DE PAGO Nº 2099 HIRSADELA E, SANCHEZ GASTOS COMUNES AGOSTO A OCTUBRE.docx"
C-24,2024-10,2024-10,COMPLETO,2099,2024-11-22,GC,"2024/RECIBO DE PAGO Nº 2099 HIRSADELA E, SANCHEZ GASTOS COMUNES AGOSTO A OCTUBRE.docx"
C-23,2024-10,2024-10,COMPLETO,2099,2024-11-22,GC,"2024/RECIBO DE PAGO Nº 2099 HIRSADELA E, SANCHEZ GASTOS COMUNES AGOSTO A OCTUBRE.docx"
K-04,2024-08,2024-08,COMPLETO,18,2025-10-27,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01865 ANA G, ARRAIZ GT AGOSTO 2024.docx"
J-06,2024-08,2024-08,COMPLETO,,2025-03-20,GC,"2025/MARZO 2025/RECIBO DE PAGO Nº 00500 CLEISYMAR, MONTILLA GT AGOSTO 2024.docx"
I-06,2024-08,2024-08,COMPLETO,,2025-10-22,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01819 MARIA P, LEBOREIRO GC AGOSTO 2024 - 32,85$.docx"
I-05,2024-08,2024-08,COMPLETO,,2025-10-22,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01819 MARIA P, LEBOREIRO GC AGOSTO 2024 - 32,85$.docx"
HM-06,2024-08,2024-08,COMPLETO,,2025-05-06,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00911 CESAR H, ARTEAGA GT AGOSTO 2024.docx"
HM-05,2024-08,2024-08,COMPLETO,,2025-05-06,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00911 CESAR H, ARTEAGA GT AGOSTO 2024.docx"
H-23,2024-08,2024-08,COMPLETO,41,2025-03-06,GC,"2025/MARZO 2025/RECIBO DE PAGO Nº 00415 JULIA Y, LOZADA GT AGOSTO 2024.docx"
H-14,2024-08,2024-08,COMPLETO,1455,2024-09-13,GC,"2024/GASTOS COMUNES AGOSTO Y SEPT 2024/RECIBO DE PAGO N° 1455 MANUEL A, PESTANO GASTOS COMUNES.docx"
H-09,2024-08,2024-08,COMPLETO,,2025-11-08,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 01973 CARLOS A, DE SOUSA GT AGOSTO 2024.docx"
H-08,2024-08,2024-08,COMPLETO,,2025-11-08,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 01973 CARLOS A, DE SOUSA GT AGOSTO 2024.docx"
H-03,2024-08,2024-08,COMPLETO,251,2025-02-12,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00251 JESUS R, PACHECO GT AGOSTO 2024.docx"
GM-26,2024-08,2024-08,COMPLETO,16,2025-09-01,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01648 VASCO, PINTO GT AGOSTO 2024.docx"
GM-24,2024-08,2024-08,COMPLETO,,2025-11-04,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 01971 ADELACIA, COTE GT AGOSTO 2024.docx"
GM-09,2024-08,2024-08,COMPLETO,1791,2024-10-23,GC,"2024/GASTOS COMUNES AGOSTO Y SEPT 2024/RECIBO DE PAGO Nº 1791 YONATHAN E, MENDOZA GASTOS COMUNES AGOSTO.docx"
GM-08,2024-08,2024-08,COMPLETO,1791,2024-10-23,GC,"2024/GASTOS COMUNES AGOSTO Y SEPT 2024/RECIBO DE PAGO Nº 1791 YONATHAN E, MENDOZA GASTOS COMUNES AGOSTO.docx"
GM-07,2024-08,2024-08,COMPLETO,1658,2024-01-01,GC,"2024/GASTOS COMUNES AGOSTO Y SEPT 2024/RECIBO DE PAGO Nº 1658 MARIA V, LOZADA GASTOS COMUNES AGOSTO.docx"
GM-06,2024-08,2024-08,COMPLETO,1658,2024-01-01,GC,"2024/GASTOS COMUNES AGOSTO Y SEPT 2024/RECIBO DE PAGO Nº 1658 MARIA V, LOZADA GASTOS COMUNES AGOSTO.docx"
G-18,2024-08,2024-08,COMPLETO,,2025-05-20,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00875 MARIBEL, DE ABREU GT AGOSTO 2024.docx"
G-11,2024-08,2024-08,COMPLETO,,2025-11-09,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 01990 JUAN E, DE ABREU GT AGOSTO 2024.docx"
G-08,2024-08,2024-08,COMPLETO,,2025-05-20,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00874 JOHNNY, DE ABREU GT AGOSTO 2024.docx"
G-07,2024-08,2024-08,COMPLETO,,2025-05-20,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00874 JOHNNY, DE ABREU GT AGOSTO 2024.docx"
G-06,2024-08,2024-08,COMPLETO,,2025-05-20,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00873 DEIVIS, DE ABREU GT AGOSTO 2024.docx"
G-05,2024-08,2024-08,COMPLETO,,2025-05-20,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00872 JOAO L, DE ABREU GT AGOSTO 2024.docx"
G-00,2024-08,2024-08,COMPLETO,,2025-03-20,GC,"2025/MARZO 2025/RECIBO DE PAGO Nº 00527 GIUSSEPPA A, MANGIALOMINI GT AGOSTO 2024.docx"
F-22,2024-08,2024-08,COMPLETO,223,2025-02-07,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00223 LUIS H, VELAZCO GT AGOSTO 2024.docx"
F-12,2024-08,2024-08,COMPLETO,1610,2024-01-01,GC,"2024/GASTOS COMUNES AGOSTO Y SEPT 2024/RECIBO DE PAGO Nº 1610 EVA, NUÑEZ GASTOS COMUNES AGOSTO.docx"
F-07,2024-08,2024-08,COMPLETO,,2025-07-07,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01210 HIPOLITO, DIAZ GT AGOSTO 2024 .docx"
E-36,2024-08,2024-08,COMPLETO,,2025-10-10,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01769 LUIS M, BERROTERAN GT AGOSTO 2024.docx"
E-35,2024-08,2024-08,COMPLETO,,2025-10-10,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01769 LUIS M, BERROTERAN GT AGOSTO 2024.docx"
E-34,2024-08,2024-08,COMPLETO,,2025-10-10,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01769 LUIS M, BERROTERAN GT AGOSTO 2024.docx"
E-33,2024-08,2024-08,COMPLETO,,2025-10-10,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01769 LUIS M, BERROTERAN GT AGOSTO 2024.docx"
E-32,2024-08,2024-08,COMPLETO,,2025-06-10,GC,"2025/JUNIO 2025/RECIBO DE PAGO Nº 01005 LUIS M, BERROTERAN GT AGOSTO 2024.docx"
E-31,2024-08,2024-08,COMPLETO,,2025-06-10,GC,"2025/JUNIO 2025/RECIBO DE PAGO Nº 01005 LUIS M, BERROTERAN GT AGOSTO 2024.docx"
E-30,2024-08,2024-08,COMPLETO,,2025-06-10,GC,"2025/JUNIO 2025/RECIBO DE PAGO Nº 01005 LUIS M, BERROTERAN GT AGOSTO 2024.docx"
E-29,2024-08,2024-08,COMPLETO,,2025-06-10,GC,"2025/JUNIO 2025/RECIBO DE PAGO Nº 01005 LUIS M, BERROTERAN GT AGOSTO 2024.docx"
E-28,2024-08,2024-08,COMPLETO,,2025-06-03,GC,"2025/JUNIO 2025/RECIBO DE PAGO Nº 01036 VERONI, MENDEZ GT AGOSTO 2024.docx"
E-08,2024-08,2024-08,COMPLETO,,2025-08-08,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01410 LUIS E, DORTA GT AGOSTO 2024.docx"
D-44,2024-08,2024-08,COMPLETO,,2025-05-03,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00904 MARIA L, VALENCIA GT AGOSTO 2024.docx"
D-43,2024-08,2024-08,COMPLETO,,2025-05-03,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00904 MARIA L, VALENCIA GT AGOSTO 2024.docx"
D-42,2024-08,2024-08,COMPLETO,,2025-05-03,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00904 MARIA L, VALENCIA GT AGOSTO 2024.docx"
BM-20,2024-08,2024-08,COMPLETO,231,2025-02-07,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00231 MARCO J, AQUINO GT AGOSTO 2024.docx"
BM-19,2024-08,2024-08,COMPLETO,231,2025-02-07,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00231 MARCO J, AQUINO GT AGOSTO 2024.docx"
BM-18,2024-08,2024-08,COMPLETO,231,2025-02-07,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00231 MARCO J, AQUINO GT AGOSTO 2024.docx"
BM-17,2024-08,2024-08,COMPLETO,231,2025-02-07,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00231 MARCO J, AQUINO GT AGOSTO 2024.docx"
BM-16,2024-08,2024-08,COMPLETO,231,2025-02-07,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00231 MARCO J, AQUINO GT AGOSTO 2024.docx"
BM-15,2024-08,2024-08,COMPLETO,231,2025-02-07,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00231 MARCO J, AQUINO GT AGOSTO 2024.docx"
BM-07,2024-08,2024-08,COMPLETO,1572,2024-01-01,GC,"2024/GASTOS COMUNES AGOSTO Y SEPT 2024/RECIBO DE PAGO Nº 1571 JOSE I, DE FREITAS GASTOS COMUNES AGOSTO.docx"
BM-06,2024-08,2024-08,COMPLETO,1572,2024-01-01,GC,"2024/GASTOS COMUNES AGOSTO Y SEPT 2024/RECIBO DE PAGO Nº 1571 JOSE I, DE FREITAS GASTOS COMUNES AGOSTO.docx"
BM-05,2024-08,2024-08,COMPLETO,1572,2024-01-01,GC,"2024/GASTOS COMUNES AGOSTO Y SEPT 2024/RECIBO DE PAGO Nº 1571 JOSE I, DE FREITAS GASTOS COMUNES AGOSTO.docx"
BM-04,2024-08,2024-08,COMPLETO,1572,2024-01-01,GC,"2024/GASTOS COMUNES AGOSTO Y SEPT 2024/RECIBO DE PAGO Nº 1571 JOSE I, DE FREITAS GASTOS COMUNES AGOSTO.docx"
BM-03,2024-08,2024-08,COMPLETO,1572,2024-01-01,GC,"2024/GASTOS COMUNES AGOSTO Y SEPT 2024/RECIBO DE PAGO Nº 1571 JOSE I, DE FREITAS GASTOS COMUNES AGOSTO.docx"
BM-02,2024-11,2024-11,COMPLETO,1572,2024-01-01,GC,2024/GASTOS COMUNES AGOSTO Y SEPT 2024/RECIBO DE PAGO Nº 1572 BRIGIDA DE  FREITAS GASTOS COMUNES AGOSTO.docx
BM-01,2024-11,2024-11,COMPLETO,1572,2024-01-01,GC,2024/GASTOS COMUNES AGOSTO Y SEPT 2024/RECIBO DE PAGO Nº 1572 BRIGIDA DE  FREITAS GASTOS COMUNES AGOSTO.docx
B-37,2024-08,2024-08,COMPLETO,,2025-07-01,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01277 VERONI, MENDEZ GT AGOSTO 2024.docx"
AM-12,2024-08,2024-08,COMPLETO,,2025-11-09,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 01987 ILVA, MORA GT AGOSTO 2024.docx"
AM-11,2024-08,2024-08,COMPLETO,,2025-11-09,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 01987 ILVA, MORA GT AGOSTO 2024.docx"
AM-10,2024-08,2024-08,COMPLETO,,2025-11-09,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 01987 ILVA, MORA GT AGOSTO 2024.docx"
AM-09,2024-08,2024-08,COMPLETO,,2025-11-09,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 01987 ILVA, MORA GT AGOSTO 2024.docx"
AM-08,2024-08,2024-08,COMPLETO,,2025-11-09,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 01981 ROSINA I, PIMENTEL GT AGOSTO 2024 .docx"
AM-07,2024-08,2024-08,COMPLETO,,2025-11-09,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 01981 ROSINA I, PIMENTEL GT AGOSTO 2024 .docx"
AM-06,2024-08,2024-08,COMPLETO,,2025-11-09,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 01981 ROSINA I, PIMENTEL GT AGOSTO 2024 .docx"
A-33,2024-08,2024-08,COMPLETO,,2025-05-08,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00783 RAFFAELE, GIOVANUCCI GT AGOSTO 2024.docx"
A-32,2024-08,2024-08,COMPLETO,,2025-05-08,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00783 RAFFAELE, GIOVANUCCI GT AGOSTO 2024.docx"
A-31,2024-08,2024-08,COMPLETO,,2025-05-08,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00783 RAFFAELE, GIOVANUCCI GT AGOSTO 2024.docx"
A-30,2024-08,2024-08,COMPLETO,,2025-05-08,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00783 RAFFAELE, GIOVANUCCI GT AGOSTO 2024.docx"
A-06,2024-08,2024-08,COMPLETO,,2025-05-05,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00751 JESUS A, LOVERA GT AGOSTO 2024.docx"
A-04,2024-08,2024-08,COMPLETO,,2025-05-05,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00750 JESUS A, LOVERA GT AGOSTO 2024.docx"
A-03,2025-11,2025-11,COMPLETO,1738,2024-10-18,GC,"2024/RECIBO DE PAGO N° 1737 MARIA F, DE SOUSA GASTOS COMUNES MES AGOSTO.docx"

OFICINA TERRAZA,2025-11,2025-11,COMPLETO,,,GC,
LOCAL TERRAZA,2025-11,2025-11,COMPLETO,,,GC,
LOCAL 6,2025-11,2025-11,COMPLETO,,,GC,
LOCAL 7,2025-11,2025-11,COMPLETO,,,GC,
LOCAL 8,2025-11,2025-11,COMPLETO,,,GC,
A-18,2025-04,2025-04,COMPLETO,,,GC,
A-35,2025-04,2025-04,COMPLETO,,,GC,
A-36,2025-04,2025-04,COMPLETO,,,GC,
A-37,2025-04,2025-04,COMPLETO,,,GC,
A-38,2025-04,2025-04,COMPLETO,,,GC,
B-24,2025-02,2025-02,COMPLETO,,,GC,
B-33,2025-06,2025-06,COMPLETO,,,GC,
B-40,2024-12,2024-12,COMPLETO,,,GC,
B-41,2024-12,2024-12,COMPLETO,,,GC,
B-15,2025-06,2025-06,COMPLETO,,,GC,
DM-17,2024-12,2024-12,COMPLETO,,,GC,
DM-18,2024-12,2024-12,COMPLETO,,,GC,
DM-19,2024-12,2024-12,COMPLETO,,,GC,
DM-20,2024-12,2024-12,COMPLETO,,,GC,
E-05,2025-04,2025-04,COMPLETO,,,GC,
E-17,2025-06,2025-06,COMPLETO,,,GC,
E-20,2024-12,2024-12,COMPLETO,,,GC,
E-23,2025-04,2025-04,COMPLETO,,,GC,
E-24,2025-04,2025-04,COMPLETO,,,GC,
E-43,2025-02,2025-02,COMPLETO,,,GC,
F-18,2025-06,2025-06,COMPLETO,,,GC,
F-19,2025-06,2025-06,COMPLETO,,,GC,
A-05,2024-08,2024-08,COMPLETO,,,GC,
A-10,2024-08,2024-08,COMPLETO,,,GC,
A-12,2024-08,2024-08,COMPLETO,,,GC,
A-13,2024-08,2024-08,COMPLETO,,,GC,
A-14,2024-08,2024-08,COMPLETO,,,GC,
B-01,2024-08,2024-08,COMPLETO,,,GC,
B-02,2024-08,2024-08,COMPLETO,,,GC,
B-03,2024-08,2024-08,COMPLETO,,,GC,
B-04,2024-08,2024-08,COMPLETO,,,GC,
B-05,2024-08,2024-08,COMPLETO,,,GC,
B-06,2024-08,2024-08,COMPLETO,,,GC,
B-07,2024-08,2024-08,COMPLETO,,,GC,
B-08,2024-08,2024-08,COMPLETO,,,GC,
B-09,2024-08,2024-08,COMPLETO,,,GC,
B-10,2024-08,2024-08,COMPLETO,,,GC,
BM-08,2024-08,2024-08,COMPLETO,,,GC,
BM-09,2024-08,2024-08,COMPLETO,,,GC,
C-10,2024-08,2024-08,COMPLETO,,,GC,
C-11,2024-08,2024-08,COMPLETO,,,GC,
C-12,2024-08,2024-08,COMPLETO,,,GC,
C-13,2024-08,2024-08,COMPLETO,,,GC,
C-36,2024-08,2024-08,COMPLETO,,,GC,
C-37,2024-08,2024-08,COMPLETO,,,GC,
CM-05,2024-08,2024-08,COMPLETO,,,GC,
E-15,2024-08,2024-08,COMPLETO,,,GC,
E-16,2024-08,2024-08,COMPLETO,,,GC,
E-27,2024-08,2024-08,COMPLETO,,,GC,
F-08,2024-08,2024-08,COMPLETO,,,GC,
F-15,2024-08,2024-08,COMPLETO,,,GC,
F-16,2024-08,2024-08,COMPLETO,,,GC,
F-17,2024-08,2024-08,COMPLETO,,,GC,
F-33,2024-08,2024-08,COMPLETO,,,GC,
F-36,2024-08,2024-08,COMPLETO,,,GC,
FL-01,2024-08,2024-08,COMPLETO,,,GC,
G-01A,2024-08,2024-08,COMPLETO,,,GC,
G-12,2024-08,2024-08,COMPLETO,,,GC,
G-15A,2024-08,2024-08,COMPLETO,,,GC,
G-20,2024-08,2024-08,COMPLETO,,,GC,
GM-01,2024-08,2024-08,COMPLETO,,,GC,
GM-02,2024-08,2024-08,COMPLETO,,,GC,
GM-04,2024-08,2024-08,COMPLETO,,,GC,
GM-17,2024-08,2024-08,COMPLETO,,,GC,
GM-25,2024-08,2024-08,COMPLETO,,,GC,
H-02,2024-08,2024-08,COMPLETO,,,GC,
H-02A,2024-08,2024-08,COMPLETO,,,GC,
HM-02,2024-08,2024-08,COMPLETO,,,GC,
HM-12A,2024-08,2024-08,COMPLETO,,,GC,
HM-12B,2024-08,2024-08,COMPLETO,,,GC,
HM-24,2024-08,2024-08,COMPLETO,,,GC,
HM-27,2024-08,2024-08,COMPLETO,,,GC,
I-03,2024-08,2024-08,COMPLETO,,,GC,
I-04,2024-08,2024-08,COMPLETO,,,GC,
I-11,2024-08,2024-08,COMPLETO,,,GC,
J-03,2024-08,2024-08,COMPLETO,,,GC,
K-02,2024-08,2024-08,COMPLETO,,,GC,
PLZ-01,2024-08,2024-08,COMPLETO,,,GC,
E-01,2024-08,2024-08,COMPLETO,,,GC,
E-02,2024-08,2024-08,COMPLETO,,,GC,
E-03,2024-08,2024-08,COMPLETO,,,GC,
E-04,2024-08,2024-08,COMPLETO,,,GC,
E-07,2024-08,2024-08,COMPLETO,,,GC,
E-09,2024-08,2024-08,COMPLETO,,,GC,
A-21,2024-08,2024-08,COMPLETO,,,GC,
A-22,2024-08,2024-08,COMPLETO,,,GC,
A-23,2024-08,2024-08,COMPLETO,,,GC,
A-24,2024-08,2024-08,COMPLETO,,,GC,
A-28,2024-08,2024-08,COMPLETO,,,GC,
AM-18,2024-08,2024-08,COMPLETO,,,GC,
AM-19,2024-08,2024-08,COMPLETO,,,GC,
AM-20,2024-08,2024-08,COMPLETO,,,GC,
BM-21,2024-08,2024-08,COMPLETO,,,GC,
D-01,2024-08,2024-08,COMPLETO,,,GC,
DM-01,2024-08,2024-08,COMPLETO,,,GC,
DM-02,2024-08,2024-08,COMPLETO,,,GC,
H-01A,2024-08,2024-08,COMPLETO,,,GC,
A-34,2025-06,2025-06,COMPLETO,,,GC,
DM-22,2025-06,2025-06,COMPLETO,,,GC,
HM-08,2024-12,2024-12,COMPLETO,,,GC,
A-05,2025-06,2025-06,COMPLETO,,,GC,
A-21,2025-06,2025-06,COMPLETO,,,GC,
A-22,2025-06,2025-06,COMPLETO,,,GC,
A-28,2025-06,2025-06,COMPLETO,,,GC,
AM-18,2025-06,2025-06,COMPLETO,,,GC,
AM-19,2025-06,2025-06,COMPLETO,,,GC,
AM-20,2025-06,2025-06,COMPLETO,,,GC,
B-01,2024-10,2024-10,COMPLETO,,,GC,
B-02,2024-10,2024-10,COMPLETO,,,GC,
B-03,2024-10,2024-10,COMPLETO,,,GC,
B-04,2024-10,2024-10,COMPLETO,,,GC,
B-05,2024-10,2024-10,COMPLETO,,,GC,
B-06,2024-10,2024-10,COMPLETO,,,GC,
B-07,2024-10,2024-10,COMPLETO,,,GC,
B-08,2024-10,2024-10,COMPLETO,,,GC,
B-09,2024-10,2024-10,COMPLETO,,,GC,
B-10,2024-10,2024-10,COMPLETO,,,GC,
BM-03,2024-11,2024-11,COMPLETO,,,GC,
BM-04,2024-11,2024-11,COMPLETO,,,GC,
BM-05,2024-11,2024-11,COMPLETO,,,GC,
BM-06,2024-11,2024-11,COMPLETO,,,GC,
BM-07,2024-11,2024-11,COMPLETO,,,GC,
BM-08,2025-06,2025-06,COMPLETO,,,GC,
BM-09,2025-06,2025-06,COMPLETO,,,GC,
BM-15,2025-03,2025-03,COMPLETO,,,GC,
BM-16,2025-03,2025-03,COMPLETO,,,GC,
BM-17,2025-06,2025-06,COMPLETO,,,GC,
BM-18,2025-06,2025-06,COMPLETO,,,GC,
BM-19,2025-06,2025-06,COMPLETO,,,GC,
BM-20,2025-03,2025-03,COMPLETO,,,GC,
BM-21,2025-06,2025-06,COMPLETO,,,GC,
C-10,2025-03,2025-03,COMPLETO,,,GC,
C-11,2025-03,2025-03,COMPLETO,,,GC,
C-12,2025-03,2025-03,COMPLETO,,,GC,
C-13,2025-03,2025-03,COMPLETO,,,GC,
C-26,2025-06,2025-06,COMPLETO,,,GC,
C-36,2024-10,2024-10,COMPLETO,,,GC,
C-37,2024-10,2024-10,COMPLETO,,,GC,
CM-02,2025-06,2025-06,COMPLETO,,,GC,
CM-05,2025-03,2025-03,COMPLETO,,,GC,
CM-12,2025-06,2025-06,COMPLETO,,,GC,
CM-13,2025-06,2025-06,COMPLETO,,,GC,
CM-14,2025-06,2025-06,COMPLETO,,,GC,
CM-15,2025-06,2025-06,COMPLETO,,,GC,
CM-16,2025-06,2025-06,COMPLETO,,,GC,
CM-17,2025-06,2025-06,COMPLETO,,,GC,
CM-18,2025-06,2025-06,COMPLETO,,,GC,
CM-19,2025-06,2025-06,COMPLETO,,,GC,
D-01,2025-06,2025-06,COMPLETO,,,GC,
D-42,2025-06,2025-06,COMPLETO,,,GC,
D-43,2025-06,2025-06,COMPLETO,,,GC,
D-44,2025-06,2025-06,COMPLETO,,,GC,
E-15,2025-03,2025-03,COMPLETO,,,GC,
E-16,2025-03,2025-03,COMPLETO,,,GC,
E-29,2024-11,2024-11,COMPLETO,,,GC,
